objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,balsamic_pasta.jpg,,,Balsamic Pasta,Bridget,2022-11-07,"Photo of Bridget's Balsamic Pasta. Ingredients include: Pasta, Chicken, Onion, Tomato, Spinach, Balsamic Vinegar.","Dinner; 
30 to 60 minutes;
Grocery store;
Stovetop",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll002,beef_stew.jpg,,,Beef Stew,Nick,2022-08-22,"Photo of Nick's Beef Stew. Ingredients include: Beef, Potatoes, Celery, Carrots, Onion, Red Wine.","Dinner;
120 minutes or more;
Grocery store; Liquor store;
Slow Cooker",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll003,bratwurst_sauerkraut.jpg,,,Bratwurst and Sauerkraut,Nick,2022-11-13,"Photo of Nick's Bratwurst and Sauerkraut. Ingredients include: Bratwurst, Sauerkraut, Mustard.","Lunch;
30 minutes or less;
Grocery store;
Oven",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll004,breakfast_sandwich.jpg,,,Breakfast Sandwich,Nick,2022-11-01,"Photo of Nick's Breakfast Sandwich. Ingredients include: Bread, Egg, Salami, Pepper Jack Cheese, Hot Sauce.","Breakfast; Snack;
30 minutes or less;
Grocery store;
Stovetop",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll005,caprese_salad.jpg,,,Caprese Salad,Bridget,2022-11-06,"Photo of Bridget's Caprese Salad. Ingredients include: Tomato, Basil, Mozzarella, Olive Oil, Balsamic Vinegar.","Snack;
30 minutes or less;
Grocery store; Farmer's Market",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll006,chicken_fajita.jpg,,,Chicken Fajita,Nick,2022-11-13,"Photo of Nick's Chicken Fajita. Ingredients include: Chicken, Bell Pepper, Onion, Garlic, Avocado, Shredded Cheese.","Dinner;
30 to 60 minutes;
Grocery store;
Oven",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll007,chicken_pot_roast.jpg,,,Chicken Pot Roast,Nick,2022-10-27,"Photo of Nick's Chicken Pot Roast. Ingredients include: Chicken, Potato, Celery, Carrots, Onion, Beer.","Dinner;
120 minutes or more;
Grocery store; Liquor store;
Slow Cooker",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll008,chicken_rice_bowl.jpg,,,Chicken Rice Bowl,Nick,2022-11-16,"Photo of Nick's Chicken Rice Bowl. Ingredients include: Chicken, Jasmine Rice, Pinto Beans.","Dinner; Lunch;
30 minutes or less;
Grocery store;
Stovetop",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll009,cranberry_chicken.jpg,,,Cranberry Chicken with Mashed Potatoes and Green Beans,Bridget,2022-11-23,"Photo of Bridget's Cranberry Chicken with Mashed Potatoes and Green Beans. 
Ingredients include: Chicken, Potatoes, Green Beans, Cranberry Sauce.","Dinner;
60 to 120 minutes;
Grocery store;
Stovetop; Oven",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll010,fish_roasted_vegetables.jpg,,,Fish and Roasted Vegetables,Nick,2022-11-01,"Photo of Nick's Fish and Roasted Vegetables. Ingredients include: Salmon, Brussel Sprouts, Asparagus.","Dinner;
30 to 60 minutes;
Grocery store;
Stovetop; Oven",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll011,grain_bowl.jpg,,,Grain Bowl,Nick,2022-11-11,"Photo of Nick's Grain Bowl. Ingredients include: Quinoa, Eggplant, Sweet Potatoes, Onion, Humus.","Dinner; Lunch;
30 minutes or less;
Grocery store; Farmer's Market;
Stovetop; Oven",,,,,,Image,image/jpeg,,,https://creativecommons.org/licenses/by-nc-nd/4.0/
